name,rating,reviews,host_name,address,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout
"A private pension hut on the hillside of Soklisan Solitary House 1, with a campfire and free firewood for apple trees",4.97,77,동현,"Sanoe-myeon, Boeun-gun, North Chungcheong Province, South Korea","Mountain view,Kitchen,Free on-street parking,Central air conditioning,Shared patio or balcony,Hair dryer,Fire pit,쿠잉 115L 레트로 refrigerator,Microwave",9052, South Korea,1,1,4,0,1,0,15:00:00,11:00:00
A Frame Tiny Cozy Glamp: Wanderthirst Dharamshala,4.89,55,Adarsh,"Dharmshala, Himachal Pradesh, India","Garden view,Waterfront,Wifi,Free parking on premises,Pets allowed,Dryer,Private patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5705, India,1,1,2,0,1,0,13:00:00,11:00:00
Cabin A Pahimis - private w/ pool & kitchen for 8,4.83,116,Froi,"Amadeo, Calabarzon, Philippines","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private outdoor pool,Air conditioning,Refrigerator,Microwave,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14612, Philippines,2,7,8,0,2,0,14:00:00,12:00:00
Off-Grid Tiny A-Frame House and Campsite,4.87,23,Jaime,"Tanay, Calabarzon, Philippines","Garden view,Lake view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises – 3 spaces,Pets allowed,Private patio or balcony,Private backyard – Fully fenced,Luggage drop-off allowed",8929, Philippines,1,2,15,0,1,0,14:00:00,12:00:00
"Kızılkaya bungalow houses, my home",4.71,21,Kemal,"Geyve, Sakarya, Turkey","Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,TV,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3763, Turkey,1,1,4,0,1,0,14:00:00,12:00:00
Villa Tuba,5.0,8,VillaTuba,"Muratpaşa, Antalya, Turkey","Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi – 49 Mbps,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",22758, Turkey,1,4,6,0,2,0,14:00:00,10:00:00
VADİ BUNGALOV SAPANCA,4.9,52,Kenan,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Dedicated workspace,Free residential garage on premises – 3 spaces,Private outdoor pool – available all year, open 24 hours,Pets allowed,Security cameras on property",11289, Turkey,1,2,4,0,1,0,14:00:00,11:00:00
AĞVA ÇINARHAN VİLLA GARDEN-Bahçe Jakuzili Bungalov,4.75,8,Ci̇hangi̇r,"İstanbul, Turkey","Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7526, Turkey,1,1,2,0,1,0,14:00:00,12:00:00
Purkinora Bungalow,4.76,17,Faruk,"Dikkaya, Rize, Turkey","Mountain view,Resort view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Washing machine,Security cameras on property",5018, Turkey,1,6,2,0,2,0,11:00:00,11:00:00
A Glass Teepee Tiny House by the River,4.84,61,Jun,"Tanay, Calabarzon, Philippines","Pets allowed,Private patio or balcony,Garden,Indoor fireplace,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2747, Philippines,1,1,3,0,0,0,16:00:00,15:00:00
Sioni Lake House,4.79,49,Nikoloz,"Sioni, Mtskheta-Mtianeti, Georgia","Garden view,Lake view,Public or shared beach access,Kitchen,Free parking on premises,Bath,Private patio or balcony,Private garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6827, Georgia,1,1,3,0,1,0,15:00:00,13:00:00
Faith Bay Huts 1,4.97,38,Sofia,"Cabangan, Central Luzon, Philippines","Public or shared beach access – Beachfront,Free residential garage on premises,Pets allowed,Air conditioning,Refrigerator,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",5529, Philippines,1,1,2,0,1,0,14:00:00,11:00:00
Sapanca Loft Bungalow,4.82,23,Rıdvan,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Kitchen,Dedicated workspace,Free driveway parking on premises,Pets allowed,TV,Central air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6924, Turkey,1,4,6,0,2,0,14:00:00,12:00:00
Enthralling Escapes with snow view mountains #,5.0,4,Harish,"Manali, Himachal Pradesh, India","Mountain view,Kitchen,Wifi,Pets allowed,HDTV,Bath,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3709, India,1,1,2,0,1,0,12:00:00,10:00:00
New Chalets on Farm with Fireplace #6,4.93,15,Yaban Yasam,"Bolu, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Bath,Private patio or balcony,Unavailable: Smoke alarmSmoke alarm",12845, Turkey,1,3,6,0,2,0,15:00:00,12:00:00
Sapancaguldibibugalov,4.96,26,Muhammet,"Sapanca, Sakarya, Turkey","Lake view,Mountain view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8128, Turkey,1,1,4,0,1,0,14:00:00,12:00:00
sapanca Bungalife M,4.6,5,Kemal,"Memnuniye, Sakarya, Turkey","Kitchen,Free residential garage on premises,Private pool,Private hot tub,TV,Air conditioning,Private patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",15052, Turkey,2,4,7,0,3,0,12:00:00,12:00:00
Bungalows with private pools in touch with nature,New,2,Emre,"Sapanca, Sakarya, Turkey","Lake view,Garden view,Kitchen,Wifi,Free residential garage on premises,Private pool,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",15604, Turkey,1,1,4,0,1,0,14:00:00,12:00:00
sapancapanoramabungalow1,5.0,4,Seyfi,"Sapanca, Sakarya, Turkey","Mountain view,Valley view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Pets allowed,Security cameras on property",7476, Turkey,1,2,4,0,1,0,14:00:00,12:00:00
Coconut Tree House Udalo Mindoro,4.87,85,Jan Michael,"Abra de Ilog, MIMAROPA, Philippines","Beach access – Beachfront,Kitchen,Pets allowed,Patio or balcony,Garden,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1372, Philippines,1,1,2,0,1,0,12:00:00,12:00:00
"Sapanca Yura Bungalov-1 Havuzlu, Korunaklı,",5.0,9,Raşit,"Sapanca, Sakarya, Turkey","Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub – available all year, open 24 hours,42"" HDTV with Netflix, cable/satellite TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14771, Turkey,1,2,4,0,1,0,14:00:00,11:00:00
Glass Teepee Village - River Glamping near Manila,4.9,20,Jun,"Tanay, Calabarzon, Philippines","Garden view,Mountain view,Waterfront,Free parking on premises,Pets allowed,Private patio or balcony,Shared garden,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8248, Philippines,1,5,7,0,3,0,16:00:00,15:00:00
Bungalow Holiday Villa Gen with Private Pool and Jacuzzi,4.64,11,Fatih,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7319, Turkey,1,1,2,0,1,0,16:00:00,10:00:00
Kid and Pet Friendly Tiny House,5.0,7,Huseyin Zerder,"Avanos, Nevşehir, Turkey","Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Private patio or balcony,Security cameras on property",4051, Turkey,1,2,3,0,1,0,14:00:00,12:00:00
SAPANCA ANL HILL BUNGALOW,4.75,4,Anıl,"Sapanca, Sakarya, Turkey","Bay view,City skyline view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14551, Turkey,1,0,4,0,1,0,14:00:00,11:00:00
A-Frame of Mind,5.0,8,Shivani And Avijeet,"Seetla, Uttarakhand, India","Garden view,Valley view,Kitchen,Wifi – 35 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7418, India,1,0,2,0,1,0,14:00:00,11:00:00
Dinosaurs  Resort 3BHK AC CABIN,New,0,Udaykumar,"Lonavla, Maharashtra, India","Lake view,Mountain view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",15975, India,4,3,7,0,3,0,15:00:00,12:00:00
Sapanca Nature Bungalow Suite with Pool and Jacuzzi,New,1,Sevgi,"Sapanca, Sakarya, Turkey","Mountain view,Garden view,Kitchen,Wifi,Free parking on premises,Pool,Private hot tub,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14049, Turkey,1,1,4,0,1,0,14:00:00,12:00:00
Moonshine Sapanca,New,0,Aleyna,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Free on-street parking,Pool,HDTV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",17611, Turkey,1,2,5,0,2,0,14:00:00,11:00:00
LOGIN OKINAWA -wood-,4.68,241,LoginOkinawa,"Onna-son, Kunigami-gun, Okinawa-ken, Japan","Resort view,Ocean view,Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pets allowed,32"" TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",13010, Japan,1,7,9,0,3,0,16:00:00,11:00:00
Hacienda Paragua,4.83,41,Edenbird,"Coron, MIMAROPA, Philippines","Pets allowed,Indoor fireplace,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4059, Philippines,1,2,4,0,1,0,14:00:00,12:00:00
Rich Bungalow in Maşukiye,5.0,10,Zengin,"Kartepe, Kocaeli, Turkey","Kitchen,Wifi,Free parking on premises,Pets allowed,TV,AC – split-type ductless system,Garden,Indoor fireplace: wood-burning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6774, Turkey,1,1,4,0,1,0,14:00:00,12:00:00
LAKERS BUNGALOV 3,New,2,Gözde Nur,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Free parking on premises,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10035, Turkey,1,2,3,0,1,0,14:00:00,11:00:00
"Cozy Tiny House in Bagac, Bataan near Las Casas",4.68,25,Markus + Micah,"Bagac, Central Luzon, Philippines","Garden view,Lake view,Public or shared beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Washing machine,Central air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8135, Philippines,1,2,5,0,2,0,14:00:00,11:00:00
A lemon Tree Hut  - Near Auroville,4.8,61,Karen,"Bommayapalayam  Near Auroville , Tamil Nadu, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Washing machine,Garden,Luggage drop-off allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1712, India,2,1,2,0,1,0,11:00:00,10:00:00
"House in Monterrazas, Metro Baguio",4.68,154,Tanya,"Baguio, Cordillera Administrative Region, Philippines","Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8767, Philippines,3,8,10,0,3,0,14:00:00,11:00:00
Glamping in the A-frame Kubo at the Sunset Hill,New,0,Oliver,"San Juan, Ilocos Region, Philippines","Wifi,Free parking on premises,Shared backyard – Fully fenced,Luggage drop-off allowed,Fire pit,Breakfast,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",2352, Philippines,0,1,2,1,1,0,15:00:00,11:00:00
Bungalow with Heated Private Pool in Sapanca,New,1,Ugur,"Memnuniye, Sakarya, Turkey","Lake access,Kitchen,Wifi,Dedicated workspace,Free on-street parking,Shared outdoor pool,Private hot tub,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",22436, Turkey,1,1,2,0,1,0,14:00:00,11:00:00
Welcome from Borjomi,4.82,44,Giorgi,"Borjomi, Samtskhe-Javakheti, Georgia","Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Free washer – In unit,Patio or balcony,Garden",6372, Georgia,1,2,4,0,1,0,14:00:00,11:00:00
SAPANCA ELİTE BUNGALOW,New,1,Ferhat,"Sapanca, Sakarya, Turkey","Valley view,Garden view,Lake access,Ski-in/ski-out – On a ski run,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Private hot tub – available all year, open 24 hours",19147, Turkey,1,2,4,0,1,0,14:00:00,11:00:00
Unique views of Rize badara plateau,4.69,13,Batuhan,"Hemşin, Rize, Turkey","Mountain view,Valley view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8028, Turkey,1,6,3,0,0,0,14:00:00,12:00:00
LOGIN OKINAWA -plants-,New,0,LoginOkinawa,"Onna, Kunigami District, Okinawa, Japan","Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV with standard cable/satellite,Washing machine,Air conditioning,Bath",12590, Japan,1,6,8,0,3,0,16:00:00,11:00:00
PyramidHouse  (kubrik camping),4.89,19,Yiğit,"Konyaaltı, Antalya, Turkey","Kitchen,Wifi,Free parking on premises,Private hot tub,Pets allowed,AC – split-type ductless system,Patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2820, Turkey,1,0,2,0,0,0,13:00:00,12:00:00
La Fuite bungalow,New,0,Georges,"Mansourieh, Mount Lebanon Governorate, Lebanon","City skyline view,Garden view,Kitchen,Wifi,Free parking on premises,HDTV with Chromecast,Air conditioning,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6839, Lebanon,1,4,4,0,2,0,12:00:00,12:00:00
恩纳村的打卡圣地网红海景小木屋Cinderella J House,4.58,58,Kiyomi,"Onna, Kunigami-gun, Okinawa, Japan","Garden view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,32"" TV with Netflix,Free washer – In building,Security cameras on property",6528, Japan,1,4,8,0,3,0,16:00:00,11:00:00
Hualien Taroko YU's B&B & Quad Room Cabin,4.87,137,秀蘭,"Xiulin Township, Taiwan","Wifi,Free parking on premises,Hot tub,TV with standard cable/satellite,Washing machine,Air conditioning,Shared garden,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9028, Taiwan,1,2,4,0,1,0,15:00:00,11:00:00
Treehouse in nature at the top of the Taurus mountains,5.0,3,Kuzeydagevleri,"Arslanköy, Mersin, Turkey","Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Free dryer – In unit,Hair dryer,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4265, Turkey,1,2,4,0,1,0,13:00:00,11:00:00
Aranyam Cafe & resort,5.0,3,Vivek,"Bhimtal, Uttarakhand, India","Mountain view,Resort view,Lake access,Wifi – 47 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3652, India,1,2,2,0,1,0,12:00:00,11:00:00
Great Villa with Sea View and Private Pool in Kas,New,1,Can,"Gelemiş, Antalya, Turkey","Sea view,Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Shared outdoor pool,TV with standard cable/satellite,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12369, Turkey,1,2,4,0,2,0,14:00:00,11:00:00
Daily Bungalow  🌲⛺️,5.0,3,Semih,"Uzundere, Rize, Turkey","Valley view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12751, Turkey,1,3,5,0,1,0,14:00:00,12:00:00
CASE: PEACEFUL AND JACUZZI VILLA IN NATURE,5.0,7,Cihan,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10684, Turkey,2,2,6,0,2,0,15:00:00,10:00:00
Balai Maniago,4.63,8,Balai,"San Felipe, Central Luzon, Philippines","Pets allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2598, Philippines,1,1,3,0,0,0,12:00:00,12:00:00
@ Bamboo Resort and ATV Park - Standard Room -EP,4.67,4,Pabitra,"Bijanbari, West Bengal, India","Waterfront,Free parking on premises,Shared pool,Indoor fireplace,Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4000, India,3,6,4,0,3,0,12:00:00,12:00:00
4-Person Villa with Nature View,New,0,Muhammet,"Kaş, Antalya, Turkey","Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10839, Turkey,2,3,4,0,2,0,16:00:00,10:00:00
"A-Haus One (mini cabin) 
Min. 2pax - Max. 4pax",5.0,8,Isla Del Antoño,"Cavinti, Calabarzon, Philippines","Lake view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Pets allowed,Bath,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6181, Philippines,2,2,5,0,1,0,14:00:00,12:00:00
Farmstay at Parule,5.0,8,Prathamesh,"Parule, Maharashtra, India","Free parking on premises,Cot,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8559, India,1,2,2,0,0,0,13:00:00,11:00:00
Forest Hut w/ access to natural pool & water falls,5.0,4,Jay,"Infanta, Calabarzon, Philippines","Garden view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Private outdoor pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4871, Philippines,1,2,2,0,1,0,10:00:00,12:00:00
Park Hotel Surami Chalet (Wild Berry),New,1,Park Hotel Surami Chalet,"Surami, Shida Kartli., Georgia","Park view,Resort view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Pets allowed,TV,Washing machine",22758, Georgia,1,2,4,0,2,0,14:00:00,12:00:00
ALANYA BUNGALOW HOMES,New,0,Ferdi,"Alanya, Antalya, Turkey","Mountain view,River view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5023, Turkey,1,4,2,0,1,0,12:00:00,12:00:00
Luxurios triangle beach house,4.91,33,איליי,"Caesarea, Haifa District, Israel","Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",23852, Israel,1,2,4,0,2,0,15:00:00,11:00:00
Sea View Villa in Kas,New,0,Tamer,Turkey,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8472,Turkey,2,4,6,0,3,0,15:00:00,12:00:00
Spacio Caliraya Teepee House,New,1,Mia,"Lumban, Calabarzon, Philippines","Free parking on premises,Pool,Air conditioning,Garden,Luggage drop-off allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4780, Philippines,0,1,2,0,1,0,14:00:00,12:00:00
The Cabin By Grey -Vacation House and Events Place,New,0,Sandy,"Kawit, Calabarzon, Philippines","Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",43866, Philippines,5,8,16,0,5,0,12:00:00,12:00:00
Honeymoon Villa with Jacuzzi and pool Chalet,New,1,Müslüm,"Kaş, Antalya, Turkey","Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7846, Turkey,1,1,2,0,1,0,16:00:00,10:00:00
The Cozy Cabins by Woodscation,5.0,3,Baljeet,"Dharamshala, Himachal Pradesh, India","Lake access,Free on-street parking,Pets allowed,Garden,Luggage drop-off allowed,Refrigerator,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4183, India,4,2,2,0,2,0,11:00:00,10:00:00
"SeptemberGardenHomestay
Prince'sCabin(for couples)",5.0,11,Tu,"Lâm Đồng, Vietnam","Kitchen,Wifi,Free parking on premises,Pets allowed,TV with standard cable/satellite,EV charger,Washing machine,Dryer,Patio or balcony,Garden",1553, Vietnam,1,1,2,0,1,0,13:00:00,11:00:00
Noina's Mystic Mountain.Hut 3,5.0,12,Noina,"Tambon Phe, Chang Wat Rayong, Thailand","Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3025, Thailand,1,1,2,0,0,0,12:00:00,12:00:00
Mulberry Collection Mint Kalkan'da 4 Kişilik Villa,New,0,Tatil Villası,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",11189, Turkey,2,3,4,0,2,0,16:00:00,10:00:00
Tiny Cottage in Bakuriani,New,0,Ana,"Bakuriani, Samtskhe-Javakheti, Georgia","Kitchen,Dedicated workspace,Free on-street parking,Washing machine,Bath,Private patio or balcony,Luggage drop-off allowed,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2740, Georgia,1,0,5,0,0,0,15:00:00,12:00:00
